Open,High,Low,Close,Volume,Date,WM2NS
127.52,129.114,126.346,127.752,21387777.8,03/11/1980,1595.2
129.526,131.478,128.432,129.588,27175555.4,10/11/1980,1601.2
133.808,136.41,132.99,135.448,32361111,17/11/1980,1602.9
139.236,140.904,137.644,139.316,34095555.4,24/11/1980,1594.8
137.6422222,138.7944444,135.4755556,136.8922222,27525925.89,08/12/1980,1605.3
129.188,130.79,127.564,128.956,26947778,15/12/1980,1606.3
131.928,134.278,131.024,133.194,29413333.4,22/12/1980,1602.5
135.8825,137.14,134.43,135.695,19019444.25,29/12/1980,1601.8
135.615,137.4025,134.7,136.35,23408333.25,05/01/1981,1620.7
135.122,136.616,132.908,134.652,34954444.4,12/01/1981,1616.7
133.854,135.288,132.728,134.024,22405555.4,19/01/1981,1614.4
131.574,132.476,129.598,130.668,21491111.2,26/01/1981,1599.8
130.204,131.454,128.508,129.632,22483333.4,02/02/1981,1601
128.838,130.464,127.762,129.31,24548889,09/02/1981,1610.7
128.5575,129.35,127.1175,127.985,20368055.5,16/02/1981,1611.8
127.292,128.6,125.97,127.366,22385555.6,23/02/1981,1609
128.926,130.776,127.956,129.858,27876666.6,02/03/1981,1615.7
130.642,131.946,129.286,130.464,25721111.2,09/03/1981,1629.4
131.566,133.656,130.538,132.278,30763333.4,16/03/1981,1633.5
134.072,135.782,132.776,134.274,33773333.4,23/03/1981,1630.9
135.678,137.172,134.146,135.396,29280000,30/03/1981,1637.5
135.812,137.016,134.492,135.662,27811111,06/04/1981,1663.6
134.266,135.51,132.846,134.11,28894444.4,13/04/1981,1669.5
133.675,135.2225,132.6,134.25,28938888.75,20/04/1981,1672.1
134.58,136.076,133.224,134.586,32913333.4,27/04/1981,1657.1
133.49,134.234,131.562,132.716,27590000,04/05/1981,1657.3
131.02,132.208,129.836,130.828,24243333.4,11/05/1981,1659.1
130.886,132.428,130.092,131.452,23751111.4,18/05/1981,1655.8
132.095,132.9825,130.6225,131.7925,23905555.75,25/05/1981,1648.4
132.782,134.37,131.5,132.998,30526667,01/06/1981,1656.7
131.384,132.64,129.958,131.35,27370000,08/06/1981,1667.5
132.754,134.372,131.748,133.028,31274444.4,15/06/1981,1671.1
132.598,133.754,130.926,132.266,27763333.4,22/06/1981,1665.4
132.666,133.886,131.5,132.654,24397777.8,29/06/1981,1661.8
130.3775,130.9575,128.4075,129.2475,25044444.5,06/07/1981,1688.5
128.52,130.1,127.616,128.974,24791111.2,13/07/1981,1687.5
130.092,131.196,128.76,129.94,24023333.4,20/07/1981,1685.6
128.01,129.5,127.056,128.246,23895555.8,27/07/1981,1679.3
