,p,q,AIC,BIC
0,0.0,1.0,3538.615082444877,3576.456102307995
1,0.0,2.0,3534.298562070484,3588.957812983877
2,0.0,3.0,3525.037818492544,3596.5153004562117
3,0.0,4.0,3536.6074768355747,3624.9031898495173
4,0.0,5.0,3544.553228210418,3649.6671722746355
5,1.0,0.0,3524.625999866746,3562.467019729864
6,1.0,1.0,3530.5769200254726,3585.2361709388656
7,1.0,2.0,3534.429687718409,3605.9071696820765
8,1.0,3.0,3521.2237179290596,3609.519430943002
9,1.0,4.0,3538.0796869279857,3643.193630992203
10,1.0,5.0,3542.8501608267943,3664.7823359412864
11,2.0,0.0,3524.765308907442,3579.424559820835
12,2.0,1.0,3534.2256628830264,3605.703144846694
13,2.0,2.0,3523.716539232018,3612.0122522459606
14,2.0,3.0,3518.4366528404935,3623.550596904711
15,2.0,4.0,3545.2845311479514,3667.2167062624435
16,2.0,5.0,3549.419624040645,3688.170030205412
17,3.0,0.0,3520.3149339785523,3591.79241594222
18,3.0,1.0,3530.0049810205737,3618.3006940345163
19,3.0,2.0,3537.9850549183634,3643.0989989825807
20,3.0,3.0,3545.549093190054,3667.481268304546
21,3.0,4.0,3538.5049966710494,3677.2554028358163
22,3.0,5.0,3555.748671745512,3711.317308960554
23,4.0,0.0,3523.98029506915,3612.2760080830926
24,4.0,1.0,3533.816929682794,3638.9308737470114
25,4.0,2.0,3537.9276318793177,3659.85980699381
26,4.0,3.0,3549.5628289868887,3688.3132351516556
27,4.0,4.0,3534.6815400502846,3690.2501772653263
28,4.0,5.0,3563.339790436522,3735.7266587018385
29,5.0,0.0,3530.7669898060703,3635.8809338702877
30,5.0,1.0,3540.4093678196796,3662.3415429341717
31,5.0,2.0,3546.660597683558,3685.411003848325
32,5.0,3.0,3553.0137355519037,3708.5823727669454
33,5.0,4.0,3544.5468700758574,3716.933738341174
34,5.0,5.0,3568.393359614178,3757.5984589297686
