,p,q,AIC,BIC
0,0.0,1.0,1149.0911197509877,1248.4146702579483
1,0.0,2.0,1133.4806224452182,1246.5039730221044
2,0.0,3.0,1131.329505341802,1258.0526559886139
3,1.0,0.0,1143.712941468803,1243.0364919757635
4,1.0,1.0,1102.250751718362,1215.2741022952482
5,1.0,2.0,1097.3472996362673,1224.0704502830793
6,1.0,3.0,1099.2403456022864,1239.6632963190239
7,2.0,0.0,1129.1685278358123,1242.1918784126985
8,2.0,1.0,1090.6129895992876,1217.3361402460996
9,2.0,2.0,1089.4694315661534,1229.8923822828908
10,2.0,3.0,1083.0482046941745,1237.1709554808376
11,3.0,0.0,1117.8046522035197,1244.5278028503317
12,3.0,1.0,1102.6593405097237,1243.0822912264614
13,3.0,2.0,1088.8622534688536,1242.9850042555167
14,3.0,3.0,1082.2926340772347,1250.1151849338235
